-3.42352. -3.83131, 15.6526, 0.813571, -0.115523
-3.41677. -3.83209, 15.6609, 0.823526, -0.115523
-3.41003. -3.83287, 15.6691, 0.833362, -0.115523
-3.40328. -3.83366, 15.6772, 0.843084, -0.115523
-3.39654. -3.83444, 15.6852, 0.852694, -0.115523
-3.38979. -3.83522, 15.6931, 0.862198, -0.115523
-3.38305. -3.83601, 15.7009, 0.871598, -0.115523
-3.3763. -3.83679, 15.7087, 0.880897, -0.115523
-3.36956. -3.83757, 15.7164, 0.8901, -0.115523
-3.36281. -3.83835, 15.7239, 0.899208, -0.115523
-3.35607. -3.83914, 15.7315, 0.908225, -0.115523
-3.34932. -3.83992, 15.7389, 0.917153, -0.115523
-3.34258. -3.8407, 15.7463, 0.925995, -0.115523
-3.33583. -3.84148, 15.7536, 0.934754, -0.115523
-3.32909. -3.84227, 15.7608, 0.943431, -0.115523
-3.32234. -3.84305, 15.768, 0.952029, -0.115523
-3.31559. -3.84383, 15.7751, 0.96055, -0.115523
-3.30885. -3.84462, 15.7821, 0.968997, -0.115523
-3.3021. -3.8454, 15.7891, 0.97737, -0.115523
-3.29536. -3.84618, 15.796, 0.985672, -0.115523
-3.28861. -3.84696, 15.8029, 0.993905, -0.115523
-3.28187. -3.84775, 15.8097, 1.00207, -0.115523
-3.27512. -3.84853, 15.8164, 1.01017, -0.115523
-3.26838. -3.84931, 15.8231, 1.0182, -0.114065
-3.26175. -3.85007, 15.8296, 1.02603, -0.113745
-3.25634. -3.85069, 15.8349, 1.03238, -0.113745
-3.25093. -3.85131, 15.8402, 1.0387, -0.113706
-3.24551. -3.85193, 15.8454, 1.04497, -0.113609
-3.2401. -3.85254, 15.8506, 1.05121, -0.113571
-3.23468. -3.85316, 15.8558, 1.05741, -0.113484
-3.22927. -3.85378, 15.8609, 1.06358, -0.113305
-3.22386. -3.85439, 15.866, 1.06971, -0.113218
-3.21844. -3.85501, 15.8711, 1.0758, -0.113039
-3.21303. -3.85562, 15.8762, 1.08186, -0.112865
-3.20761. -3.85624, 15.8812, 1.08788, -0.112692
-3.2022. -3.85685, 15.8862, 1.09387, -0.112464
-3.19678. -3.85746, 15.8911, 1.09982, -0.112208
-3.19137. -3.85807, 15.8961, 1.10574, -0.111981
-3.18596. -3.85868, 15.901, 1.11163, -0.111677
-3.18054. -3.85929, 15.9059, 1.11749, -0.111368
-3.17513. -3.85989, 15.9108, 1.12331, -0.111107
-3.16971. -3.8605, 15.9156, 1.1291, -0.110749
-3.16429. -3.8611, 15.9204, 1.13486, -0.110358
-3.15888. -3.8617, 15.9252, 1.14059, -0.110048
-3.15346. -3.8623, 15.93, 1.14628, -0.109604
-3.14805. -3.8629, 15.9347, 1.15195, -0.109212
-3.14263. -3.86349, 15.9394, 1.15758, -0.108773
-3.13721. -3.86408, 15.9441, 1.16318, -0.108285
-3.1318. -3.86467, 15.9488, 1.16876, -0.10785
-3.12638. -3.86526, 15.9534, 1.1743, -0.107362
-3.12096. -3.86584, 15.9581, 1.17981, -0.106874
-3.11554. -3.86642, 15.9627, 1.18529, -0.106308
-3.11013. -3.867, 15.9673, 1.19074, -0.105733
-3.10471. -3.86757, 15.9718, 1.19616, -0.105207
-3.09929. -3.86815, 15.9764, 1.20156, -0.104593
-3.09387. -3.86872, 15.9809, 1.20692, -0.103975
-3.08845. -3.86928, 15.9854, 1.21225, -0.103356
-3.08303. -3.86984, 15.9899, 1.21756, -0.102699
-3.07761. -3.8704, 15.9944, 1.22283, -0.102037
-3.07219. -3.87096, 15.9988, 1.22766, -0.10138
-3.06677. -3.87151, 16.0033, 1.22242, -0.100631
-3.06135. -3.87206, 16.0077, 1.21717, -0.0998863
-3.05592. -3.8726, 16.0122, 1.21189, -0.099181
-3.0505. -3.87314, 16.0167, 1.2066, -0.0983886
-3.04508. -3.87367, 16.0212, 1.20129, -0.0975963
-3.03966. -3.8742, 16.0258, 1.19596, -0.0968082
-3.03423. -3.87473, 16.0303, 1.19061, -0.095968
-3.02881. -3.87525, 16.0349, 1.18524, -0.0951363
-3.02339. -3.87577, 16.0395, 1.17984, -0.0942568
-3.01796. -3.87628, 16.0442, 1.17443, -0.0933774
-3.01254. -3.87679, 16.0488, 1.169, -0.0924544
-3.00711. -3.8773, 16.0535, 1.16354, -0.0915354
-3.00168. -3.87779, 16.0582, 1.15806, -0.0906084
-2.99626. -3.87829, 16.0629, 1.15256, -0.0895982
-2.99083. -3.87877, 16.0676, 1.14704, -0.0886791
-2.9854. -3.87926, 16.0724, 1.14149, -0.0876215
-2.97997. -3.87973, 16.0772, 1.13592, -0.0866114
-2.97455. -3.8802, 16.082, 1.13032, -0.0855576
-2.96912. -3.88067, 16.0868, 1.1247, -0.0845038
-2.96369. -3.88113, 16.0917, 1.11906, -0.0834501
-2.95826. -3.88158, 16.0966, 1.11339, -0.0823091
-2.95283. -3.88203, 16.1015, 1.10769, -0.0812117
-2.9474. -3.88247, 16.1064, 1.10197, -0.0800707
-2.94196. -3.88291, 16.1114, 1.09622, -0.0788827
-2.93653. -3.88334, 16.1164, 1.09044, -0.0777015
-2.9311. -3.88376, 16.1214, 1.08463, -0.0765168
-2.92567. -3.88418, 16.1264, 1.0788, -0.0752853
-2.92023. -3.88459, 16.1315, 1.07293, -0.074057
-2.9148. -3.88499, 16.1366, 1.06704, -0.0727851
-2.90937. -3.88539, 16.1417, 1.06111, -0.0715132
-2.90393. -3.88578, 16.1468, 1.05515, -0.0701977
-2.89849. -3.88616, 16.152, 1.04916, -0.0689227
-2.89306. -3.88654, 16.1572, 1.04314, -0.0675228
-2.88762. -3.8869, 16.1625, 1.03709, -0.0662072
-2.88219. -3.88726, 16.1677, 1.031, -0.0648015
-2.87675. -3.88762, 16.173, 1.02487, -0.0634451
-2.87131. -3.88796, 16.1784, 1.01871, -0.0619958
-2.86587. -3.8883, 16.1837, 1.01251, -0.0605519
-2.86043. -3.88863, 16.1891, 1.00627, -0.0591027
-2.85499. -3.88895, 16.1946, 1, -0.0576125
